body,Positive Psychology,PP: Gratitude,PP: Optimism,PP: Strengths,PP: Meaning,PP: Positive Reappraisal,PP: Humor,PP: General Education,Physical Activity,Diet,Directive,Social
"Sometimes doing an enjoyable or meaningful activity on your own can help you feel more energized and motivated. Today, try to do something alone that you love or something that brings you peace!",1,0,0,0,1,0,0,0,0,0,1,0
Doing an enjoyable or meaningful activity with others can help you feel more connected and foster joy for multiple people at the same time. Try to schedule something today or tomorrow with friends or loved ones!,1,0,0,0,1,0,0,0,0,0,1,1
Happiness is best found when engaging in enjoyable and meaningful activities. Try to schedule one of each for later this week!,1,0,0,0,1,0,0,0,0,0,1,0
A meaningful activity is one that enhances the sense of meaning and purpose for your life. Can you schedule something meaningful to do today or tomorrow?,1,0,0,0,1,0,0,0,0,0,1,0
"One way to bring more joy into your life is to fill your life with the activities that bring you the most happiness. Today, try to do something you love to multiply your joy! ",1,0,0,0,1,0,0,0,0,0,1,0
"Just thinking about happiness does not always make you happier. Instead, try engaging in something that makes you happy in an active way. What is something that you love that you can do today?",1,0,0,0,1,0,0,0,0,0,1,0
"Humor can lighten the mood, help you feel relaxed, and relieve stress by distracting you from your worries. Try to look at something in your life today with humor and see if you feel any positive benefits!",1,0,0,0,0,0,1,0,0,0,1,0
Humor can bring joy and enrich our lives. Having a sense of humor can also help us cope with life's challenges and make the best of situations. How can you use humor to bring joy to your life today?,1,0,0,0,0,0,1,0,0,0,1,0
Laughter is contagious and can strengthen our social connections. What makes you laugh? How can you bring more humor to yourself and your loved ones today?,1,0,0,0,0,0,1,0,0,0,1,1
"Humor can bring joy and enrich our lives, but it does not always have to be so obvious that it makes us laugh out loud. Anything strange or amusing or anything that makes you smile can bring positive benefits. Look for a little humor in your life today!",1,0,0,0,0,0,1,0,0,0,1,0
"If used correctly, humor can help you cope with stress. A smile or laugh can improve your mood and may even boost your physical health!",1,0,0,0,0,0,1,0,0,0,0,0
"Being able to find humor during difficult times is a hard thing to do but can be a good way to manage stress. If you are able to see the humor, it may also boost your mood and motivation.",1,0,0,0,0,0,1,0,0,0,1,0
"Sometimes it is true that ""laughter is the best medicine."" Write yourself a prescription for humor to get through both the good times and the bad!",1,0,0,0,0,0,1,0,0,0,1,0
"Today, try to identify the humorous side of something that happens. Whether you laugh, smile, or are simply mindful of the humor in life, it might help you get through the day!",1,0,0,0,0,0,1,0,0,0,1,0
Being kind and generous can lead you to see others in a more positive light and can foster a sense of community. Do one small act of kindness for another person today and see how it feels!,1,0,0,0,1,0,0,0,0,0,1,1
Doing kind acts can help you appreciate your own good fortune. Try to do something nice for someone today and see how it feels!,1,0,0,0,1,0,0,0,0,0,1,1
Being kind to someone else can be a welcome distraction from your own troubles and can put things in perspective. Try to do something kind for a friend or stranger today!,1,0,0,0,1,0,0,0,0,0,1,1
"A major benefit of being kind to others is that it can boost your self-esteem and change how you see yourself. Do something kind for someone else today, and you might just get a boost of positivity in return!",1,0,0,0,1,0,0,0,0,0,1,1
"When you are kind to others, you may begin to view yourself as a person who is kind and caring. Try to do one small act of kindness today!",1,0,0,0,1,0,0,0,0,0,1,1
"Studies find that helping others or volunteering for a good cause can help people better understand their own abilities, resources, and expertise. Try to help someone today, even in a small way!",1,0,0,0,1,0,0,0,0,0,1,1
"When people help others, they often feel that they have greater control over their own lives. Try to do something kind today for someone else and see how it feels!",1,0,0,0,1,0,0,0,0,0,1,1
Doing something kind for someone else can help restore your energy after a difficult situation or help you replace negative thoughts with more positive ones. Try doing something kind for someone today!,1,0,0,0,1,0,0,0,0,0,1,1
"You may already do kind things for other people on a regular basis. If so, today, try to do something kind for someone in a way that you've never tried before!",1,0,0,0,1,0,0,0,0,0,1,1
"Take a moment today to reflect on a kind act you have done for someone else in the past. Now, try to think of a small kind act you can do for another person in the future!",1,0,0,0,1,0,0,0,0,0,1,0
Performing an act of kindness for someone else can bring you feelings of joy or satisfaction. Try to do something kind for someone today. Don't worry about whether they will appreciate it; just enjoy yourself!,1,0,0,0,1,0,0,0,0,0,1,1
"As an act of kindness, give someone a genuine compliment today. See how it feels to let a person know that you value his/her good qualities!",1,0,0,0,1,0,0,0,0,0,1,1
"During difficult times, it is natural to think that you would be happier if only the circumstances changed. Today, if you find yourself in a difficult spot and you can't change the circumstances, try to change your attitude and think more positive thoughts!",1,0,0,0,0,1,0,0,0,0,1,0
"Performing intentional activities to promote happiness can be powerful, regardless of what challenges are present in your life. Schedule an activity today that can bring you joy or a greater sense of meaning!",1,0,0,0,0,0,0,1,0,0,1,0
Experiencing more positive emotions is a lot like learning a new expertise; it takes daily and deliberate practice to cultivate the right skills. Observe one positive emotion today and determine what caused it so you can experience it again!,1,0,0,0,0,0,0,1,0,0,1,0
Being happier can help people to engage in healthier behaviors such as being physically active or eating healthier foods. Think of something that makes you happy and use it as fuel to improve your life!,1,0,0,0,0,0,0,1,0,0,1,0
"Today, if you notice yourself having frequest negative thoughts, try to turn your mind back to the present moment and focus on the positive instead.",1,0,0,0,0,1,0,0,0,0,1,0
Engaging in activities that are out of the ordinary can be fulfilling and boost positive emotions. Try a new enjoyable activity or pick a new way to be kind to someone else today and see how you feel!,1,0,0,0,1,0,0,0,0,0,1,0
"If you plan the positive activities you will do ahead of time, you will feel positive in anticipation of the activity, during the activity, and afterwards! What can you plan for today?",1,0,0,0,0,0,0,1,0,0,1,0
"There are many positive feelings other than just ""good"" or ""happy."" The better you can become at describing exactly what positive emotion you are feeling (e.g., joy, inspiration, etc.), the more you can realize how bountiful they are!",1,0,0,0,0,0,0,1,0,0,0,0
"Here are 12 common positive emotions: gratitude, love, hope, determination, acceptance, pride, relief, serenity, interest, connectedness, inspiration, and joy. How can you cultivate one of these feelings?",1,0,0,0,0,0,0,1,0,0,0,0
"Research suggests that up to 50% of your happiness is under your own control. Today, purposefully do an activity that brings you well-being or joy!",1,0,0,0,0,0,0,1,0,0,1,0
Research has shown that physical activity is a great way to improve your mood. Try exercising today and notice how you feel afterwards!,0,0,0,0,0,0,0,0,1,0,1,0
A regular exercise routine can boost your overall energy levels. What can you do today to be physically active?,0,0,0,0,0,0,0,0,1,0,1,0
Regular exercise can improve your immune system and make it less likely that you will get sick. Try to boost your physical health with some kind of physical activity today!,0,0,0,0,0,0,0,0,1,0,1,0
Exercise can improve focus and make the brain work better. How can you be active today to improve both your body and your mind?,0,0,0,0,0,0,0,0,1,0,1,0
Did you know that exercise can help you grow new brain cells and improve your memory? Add in more exercise to your routine and see if your mind feels sharper!,0,0,0,0,0,0,0,0,1,0,0,0
"Exercise, even walking, can help keep your muscles strong and your body healthy. What can you do today to be active and keep your muscles strong?",0,0,0,0,0,0,0,0,1,0,1,0
Our muscles can lose strength rapidly when we don't use them. Regular exercise can prevent this and keep your muscles strong and healthy!,0,0,0,0,0,0,0,0,1,0,0,0
Exercise can improve circulation so that you will have better blood flow to your whole body. Can you take a walk today to get your blood flowing?,0,0,0,0,0,0,0,0,1,0,1,0
"The heart is a big muscle, and like all muscles, it needs exercise to stay strong. Take a walk today to keep your hearth strong and healthy!",0,0,0,0,0,0,0,0,1,0,1,0
"If losing weight is one of your goals, remember that one of the best ways to control weight is to take a walk or exercise in some other way every day. What can you do to be active today?",0,0,0,0,0,0,0,0,1,0,1,0
People who exercise more live longer. It's never too late to start being active! Do you want to take a walk today and set a goal to make it a habit?,0,0,0,0,0,0,0,0,1,0,1,0
"Despite knowing that exercise has many benefits, it can be hard to get motivated to be active every day. Can you think of one way to be more active today?",0,0,0,0,0,0,0,0,1,0,1,0
You are more likely to stick with an exercise routine if you enjoy the type of activity you are doing. It's always helpful to try many different types of physical activity to see what you like the most!,0,0,0,0,0,0,0,0,1,0,0,0
How important is physical activity to you? What motivates you to be more physically active? Can you think of a reason to be active today?,0,0,0,0,0,0,0,0,1,0,1,0
"Knowledge is power! By tracking your physical activity, you can learn more about what motivates you or what makes it less likely that you will be active on any given day. Try tracking your activity today!",0,0,0,0,0,0,0,0,1,0,1,0
"Pedometers, step-counters, smartwatches, and even phones can help you measure and track your physical activity goals. Can you use one of these today to see how many steps you take?",0,0,0,0,0,0,0,0,1,0,1,0
Developing a system to track your physical activity can make it easier to establish an exercise routine. How can you start tracking today?,0,0,0,0,0,0,0,0,1,0,1,0
Sometimes we don’t realize how much time we spend sitting without moving our bodies very much. Track your physical activity today so you can be aware of how much you move throughout the day!,0,0,0,0,0,0,0,0,1,0,1,0
"The more specific and measurable you can make your physical activity goals, the better chance you have of knowing whether you have met your goal! Is your physical activity goal specific and measurable?",0,0,0,0,0,0,0,0,1,0,0,0
"In the long run, it is best to have goals that are attainable and realistic. Is your physical activity goal one that you could sustain? If not, think about changing it!",0,0,0,0,0,0,0,0,1,0,1,0
"Have you noticed whether anything makes it easier for you to exercise? Is it a friend, a certain song, or a specifc routine? Whatever it is, write it down and try to use it for motivation today!",0,0,0,0,0,0,0,0,1,0,1,0
"What makes it more difficult for you to exercise? Is it weather, a bad mood, fatigue? Try brainstorming what your barriers are and writing down ways to problem-solve around them!",0,0,0,0,0,0,0,0,1,0,1,0
Is there a safe place nearby where you could walk or exercise? Try thinking of a spot where you don't normally go and explore a new part of your neighborhood today.,0,0,0,0,0,0,0,0,1,0,1,0
Adding variety into your routine is good for both the mind and the body. Why not try taking a walk along a different route today?,0,0,0,0,0,0,0,0,1,0,1,0
"Local parks, walking trails, or even indoor malls can be great places to take a walk. Try finding a new place to walk today!",0,0,0,0,0,0,0,0,1,0,1,0
Sometimes it's easier to stick with your exercise goals if you share them with a friend or family member who can help keep you on track. Can you tell someone you care about today about your physical activity goals?,0,0,0,0,0,0,0,0,1,0,1,1
Some people find that physical activity is more enjoyable when it is done with others. Try finding a friend or family member who can exercise with you this week!,0,0,0,0,0,0,0,0,1,0,1,1
"Many cities and towns have community centers, classes, gyms, and other resources for physical activity. This week, try looking into what resources you have in your community!",0,0,0,0,0,0,0,0,1,0,1,0
Setbacks and slips are a normal part of progress. What matters most is not giving up after a setback. Think of a time when you persevered through a setback and use that to motivate you today to meet your physical activity goal!,0,0,0,0,0,0,0,0,1,0,1,0
"Today, think of one way that you can make yourself less likely to experience setbacks with your physical activity goals in the future. Write it down and remember not to be hard on yourself if you do slip up; it happens to all of us!",0,0,0,0,0,0,0,0,1,0,1,0
"Sitting for several hours during the day can lead to reduced strength and energy over time. Today, try to get up every 30 minutes to move around!",0,0,0,0,0,0,0,0,1,0,1,0
"Reducing sitting or sedentary time can improve your energy level, help with pain and body aches, and reduce your risk of disease. Try to get up and move every half an hour today!",0,0,0,0,0,0,0,0,1,0,1,0
"Today, try to use a reminder system like a watch or phone alarm to help you remember to get up, stretch, and move every 30 to 60 minutes!",0,0,0,0,0,0,0,0,1,0,1,0
Sitting for prolonged periods of time can be bad for your heart and body. Try to find ways to get up and stretch often today!,0,0,0,0,0,0,0,0,1,0,1,0
"Today, think of three pros and three cons of having physical activity as a part of your daily routine. Do you want to exercise regularly? How might you do it?",0,0,0,0,0,0,0,0,1,0,1,0
Did you know that walking for even an additional 15 minutes per day can improve health and well-being? Try to take a walk today either alone or with a friend!,0,0,0,0,0,0,0,0,1,0,1,0
"Today, try to incorporate gratitude into your life. Stop for a few minutes and write down three good things that happened to you this week.",1,1,0,0,0,0,0,0,0,0,1,0
There are easy tricks you can use to increase your activity every day. Try parking farther away in a parking lot or taking the stairs instead of the elevator whenever you can!,0,0,0,0,0,0,0,0,1,0,1,0
"Try to perform an act of kindness for someone else today. It can be big or small, but notice what positive thoughts and feelings you have when you do it!",1,0,0,0,1,0,0,0,0,0,1,1
"The American Heart Association recommends walking as one of the most effective forms of exercise for achieving heart health. Walk whenever you can; in fact, try to take a walk today!",0,0,0,0,0,0,0,0,1,0,1,0
"Today, try to take a few minutes to express your gratitude to someone who has done something kind for you at some point in your life. You can write them a letter, call them, or thank them in person!",1,1,0,0,0,0,0,0,0,0,1,1
"People who schedule exercise time on their calendar like they would any other important appointment/task are more likely to stick with a physical activity plan. Can you schedule a time to exercise today, even if it's just a short walk?",0,0,0,0,0,0,0,0,1,0,1,0
Time for a boost of positive thoughts and feelings! Take some time today to think about a successful event in your life and how you personally contributed to that success.,1,0,0,1,0,0,0,0,0,0,1,0
"Another simple way to improve your health is to reduce the amount of time you spend sitting down throughout the day. Today, try to be mindful of times when you are sitting for an hour or longer and get up and move around!",0,0,0,0,0,0,0,0,1,0,1,0
"At the end of the day today, think of one positive event from today and one positive thing you are looking forward to. You can ask a friend to do this with you, too!",1,1,1,0,0,0,0,0,0,0,1,1
"When it comes to physical activity, every little bit counts. How can you take a few extra steps today to increase your activity level and benefit your overall health? ",0,0,0,0,0,0,0,0,1,0,1,0
Research shows that having social support can make a big difference in achieving physical activity goals. Try telling a friend or family member today about your exercise goals!,0,0,0,0,0,0,0,0,1,0,1,1
"If you can, take some time today to stop and appreciate something positive. It could be an important friendship, a beautiful view, or another person's kind act. See how it feels!",1,1,0,0,0,0,0,0,0,0,1,0
Take some time today to think of a simple plan for how you can be more active. Make sure it is realistic and something you feel you can commit to for the next week (like walking for 20 minutes each day). Write it down and try to follow it for the next 7 days!,0,0,0,0,0,0,0,0,1,0,1,0
Exercise can boost your energy level so that you feel more energetic and motivated in general. What can you do today to exercise your body?,0,0,0,0,0,0,0,0,1,0,1,0
Research suggests that people who exercise more also live longer! It's never too late to start exercising. How about taking a walk today and making it a habit?,0,0,0,0,0,0,0,0,1,0,1,0
Did you know that exercise can help you grow new brain cells and improve your memory? Start exercising today to stay sharp!,0,0,0,0,0,0,0,0,1,0,1,0
You are more likely to stick with a physical activity routine if you enjoy what you are doing. It's helpful to try many different types of activity to find what you like most. You can start this week!,0,0,0,0,0,0,0,0,1,0,1,0
Physical activity is a great way to boost your mood. Try exercising for at least 15 minutes today and see if you feel any improvements in your mood or energy level!,0,0,0,0,0,0,0,0,1,0,1,0
What are some reasons why physical activity may be important to you? Can you think of something that motivates you to be more physically active today?,0,0,0,0,0,0,0,0,1,0,1,0
What are your barriers for physical activity? Can you brainstorm and write down a way to get around these potential barriers this week?,0,0,0,0,0,0,0,0,1,0,1,0
Sometimes social support can help you meet your physical activity goals. Try telling a friend or family member today about your goals and see if they can help you stay on track!,0,0,0,0,0,0,0,0,1,0,1,1
"For some people, exercise is more fun when it is done with other people. Try finding an exercise partner this week and see how it feels!",0,0,0,0,0,0,0,0,1,0,1,1
Setbacks are a normal part of progress and improvement. What matters most is that you don't give up! Can you think of a time when you had a setback but did not give up? Use this memory as motivation to meet your physical health goals!,0,0,0,0,0,0,0,0,1,0,1,0
"Sitting for long periods of time can lead to reduced strength and energy. Today, try to stand up every 30 minutes and move around!",0,0,0,0,0,0,0,0,1,0,1,0
"People often focus on negative events rather than the good, positive things that happen. Today, try to notice three good things to promote gratitude and optimism!",1,1,1,0,0,0,0,0,0,0,1,0
"Research indicates that life satisfaction depends less on actual events and more on what we choose to pay attention to. Today, try to focus on the positive and write down three things for which you feel gratitude!",1,1,0,0,0,0,0,0,0,0,1,0
Think back over the last several years and remember an instance when someone did something nice for you. Consider writing or calling them to express your gratitude today!,1,1,0,0,0,0,0,0,0,0,1,1
"Today, think about a success you have had in your life and spend time savoring how it felt to achieve this success and how you played a role in making it happen. See if you can use this experience to build your confidence and motivation going forward!",1,0,0,1,0,0,0,0,0,0,1,0
Tracking your physical activity can be very motivating and helpful for achieving your goals. Consider using a calendar to mark off the days you are active and record how many minutes you spent being active!,0,0,0,0,0,0,0,0,1,0,1,0
One way to stay more focused on the positive aspects of your life is to use a calendar to write down one thing you are grateful for each day. Try this out today!,1,1,0,0,0,0,0,0,0,0,1,0
Scientific research suggests that performing small acts of kindness can improve your mood and how you think about yourself. Think about what you can do today to be kind to someone else!,1,0,0,0,1,0,0,0,0,0,1,0
Is there someone in your life who motivates you to be healthier? Can you spend time with them or reach out to them today?,0,0,0,0,0,0,0,0,0,0,1,1
"It is often easier to add new healthy foods into your diet rather than cutting out the unhealthy foods all at once. Today, try to add some healthy foods into your meals like a large serving of vegetables!",0,0,0,0,0,0,0,0,0,1,1,0
"Soda and fruit juice can contain a great deal of sugar and can actually make you feel more tired rather than energized. Instead, try to find a healthier replacement today like water, coffee, or tea!",0,0,0,0,0,0,0,0,0,1,1,0
"A great way to eat healthy is to eat foods that are fresh and natural, like vegetables, fruits, nuts, beans, or fish. Is there a healthy, natural food you would like to eat today?",0,0,0,0,0,0,0,0,0,1,1,0
Vegetables are the healthiest food group by far. Try to eat some vegetables with each meal today if you can!,0,0,0,0,0,0,0,0,0,1,1,0
"The hungrier we are when choosing food, the harder it can be to choose a healthy option. If you can, try to plan your meals ahead of time when you aren't feeling hungry!",0,0,0,0,0,0,0,0,0,1,1,0
"Stress can have a harmful effect on your physical health over time. Today, when you feel worried, try taking deep, slow breaths and focus your attention only on what is within your control to change.",0,0,0,0,0,0,0,0,0,0,1,0
"It can be helpful to remember that almost everyone you meet is facing some kind of internal struggle. Today, try to be especially kind and understanding to others…and to yourself!",1,0,0,0,0,0,0,1,0,0,1,1
Making a list of your favorite healthy foods and having them easily available at home can help keep you on track in terms of a healthy diet. Can you make a list of your favorite healthy foods today?,0,0,0,0,0,0,0,0,0,1,1,0
The simplest way to improve your diet is to fill your plate with more vegetables for each meal. Try to increase the amount of vegetables you eat this week by 20%!,0,0,0,0,0,0,0,0,0,1,1,0
"Be careful of foods like white bread that are made of simple carbohydrates. Try to use foods rich in complex carbohydrates instead like whole wheat breads, whole grain crackers, or brown rice!",0,0,0,0,0,0,0,0,0,1,1,0
"Some fats are actually good for you! Olive oil, soybeans, nuts, or avocados are all examples of healthy fats. ",0,0,0,0,0,0,0,0,0,1,0,0
"It is a good idea to avoid foods with ""partially hydrogenated"" oils listed as an ingredient. Partially hydrogenated oils can be found in certain types of synthetic butters or other processed foods!",0,0,0,0,0,0,0,0,0,1,0,0
Fish is generally healthier than red meats like beef. Try to add more fish into your diet for a healthier future!,0,0,0,0,0,0,0,0,0,1,1,0
A good cooking tip is to season foods with herbs and spices instead of salt. Your food will still be tasty but will be much healthier as well!,0,0,0,0,0,0,0,0,0,1,0,0
Today's nutrition tip for a healthy heart: stay away from any foods that contain more than 140mg of sodium (salt) per serving!,0,0,0,0,0,0,0,0,0,1,0,0
Some canned or processed foods can contain high levels of salt. Look for sodium on the nutrition information label and be careful if it says there are more than 140mg of sodium per serving!,0,0,0,0,0,0,0,0,0,1,0,0
"Here is a healthy eating tip: try to have fresh fruit for dessert instead of baked goods, puddings, or sweets made with cream or sauces!",0,0,0,0,0,0,0,0,0,1,0,0
"It can be difficult to eat healthy foods when ordering from fast food restaurants. This week, try to limit the number of times you eat fast food this week and replace these meals with healthier alternatives!",0,0,0,0,0,0,0,0,0,1,1,0
"Some of the best choices for healthy protein include beans, fish, egg whites, tofu/soy, and nuts. Try to have one of these great protein sources this week!",0,0,0,0,0,0,0,0,0,1,1,0
Write down your three favorite vegetables and buy one of them today to snack on during the week!,0,0,0,0,0,0,0,0,0,1,1,0
"Physical activity can lower blood pressure and ""bad"" cholesterol levels and can help you lose weight. Try to find a way to be active today!",0,0,0,0,0,0,0,0,1,0,0,0
"It possible, try using positive self-talk to turn negative thoughts into more positive ones. For example, when you catch yourself thinking, ""I can't do this,"" try saying ""I'll do the best I can"" instead!",0,0,0,0,0,0,0,0,0,0,1,0
"To help reduce stress and promote relaxation, try taking 15 to 20 minutes today to sit quietly, relax, breathe deeply in a peaceful environment. Notice how you feel afterward!",0,0,0,0,0,0,0,0,0,0,1,0
"Reducing physical tension in your body can help alleviate mental tension as well. Try to walk, bike, do yoga, or exercise in another way to help calm your mind today!",0,0,0,0,0,0,0,0,0,0,1,0
"If walking was a medication, doctors would write prescriptions for it all the time! Take a walk today for its many health benefits.",0,0,0,0,0,0,0,0,1,0,1,0
Delete - duplicate,0,0,0,0,0,0,0,0,0,0,,0
"Today, try to reach for healthy foods first when you are hungry instead of indulging in less healthy, comfort foods!",0,0,0,0,0,0,0,0,0,1,1,0
One of the easiest ways to exercise is to start walking on a regular basis. Walking is good for everyone!,0,0,0,0,0,0,0,0,1,0,0,0
"To bring yourself a greater sense of calm and motivation today, try quietly meditating or praying for five minutes. It will not take too much time out of your day, and you might notice a major mood change!",0,0,0,0,0,0,0,0,0,0,1,0
What activities make you feel most calm and peaceful? Can you try one of these activities today?,0,0,0,0,0,0,0,0,0,0,1,0
"Today, try to practice deep, slow breathing for two minutes while closing your eyes. Do you feel calmer or more at peace afterwards?",0,0,0,0,0,0,0,0,0,0,1,0
"To reduce stress, try writing down or thinking about a more positive way to look at something you have been struggling with lately.",0,0,0,0,0,0,0,0,0,0,1,0
"It is easy to become stressed out during the day without realizing it. Today, try to take a break from what you are doing for even one minute, close your eyes, and breathe deeply.",0,0,0,0,0,0,0,0,0,0,1,0
Is there a peaceful place near where you live that you could visit today or tomorrow? Purposefully seeking out peace in itself can be calming.,0,0,0,0,0,0,0,0,0,0,1,0
